date, cash, etc
04/20/2013,17399,73601
04/20/2012,15604,82878
12/18/2012,13380,80125
04/29/2012,19213,66800
04/29/2013,12031,74018
08/12/2012,22016,70493
08/12/2013,14148,76463
09/04/2012,14560,76089
05/19/2012,20966,77091
10/25/2012,12915,80785
12/13/2012,13552,83918
09/29/2012,19086,73471
08/23/2012,15592,84083
08/08/2013,13915,81728
08/08/2012,15043,80116
09/25/2012,12765,76640
10/08/2012,13772,63038
02/17/2013,17075,64644
08/25/2012,21421,76074
12/14/2012,15320,84135
09/12/2012,13112,80255
08/15/2013,14510,85144
08/15/2012,14338,77689
06/06/2012,13851,80691
12/31/2012,15762,66485
12/16/2012,16597,66396
07/29/2013,13921,76452
07/29/2012,19830,62076
05/18/2013,18656,76218
11/23/2012,17890,70911
05/31/2013,15432,86809
05/10/2013,15140,86648
05/10/2012,13834,82935
09/17/2012,14289,70524
08/21/2012,14813,79248
08/26/2012,21126,69465
03/14/2013,12190,81850
08/14/2012,14490,77328
08/14/2013,13968,82292
07/13/2012,17578,83980
07/13/2013,18432,73226
03/31/2013,18652,70799
10/17/2012,12558,80110
07/22/2012,21011,67045
09/05/2012,13696,78338
01/30/2013,11640,76963
01/06/2013,14951,57714
04/03/2012,13778,78860
09/21/2012,15273,84714
07/10/2013,13100,79940
07/10/2012,14685,78083
04/05/2012,15795,85871
04/05/2013,14556,82808
08/04/2013,18946,68934
08/04/2012,21720,75350
04/06/2013,18125,75024
04/06/2012,18480,82278
09/22/2012,18909,73891
01/10/2013,12300,79000
07/25/2013,13927,83304
07/25/2012,14961,79946
05/16/2013,12711,79799
05/16/2012,13600,80987
06/05/2012,13364,78926
06/05/2013,12852,82739
05/06/2012,17095,58232
